"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U1_8","SMD_QFN50P900X900X85-65N_-_BE200","-35mm","75mm","-35mm","75mm","-38.75mm","70.5mm","T","90.00","BE200"
"U1_9","SMD_QFN50P900X900X85-65N_-_BE200","-55mm","75mm","-55mm","75mm","-51.25mm","79.5mm","T","270.00","BE200"
"U1_10","SMD_QFN50P900X900X85-65N_-_BE200","-55mm","55mm","-55mm","55mm","-51.25mm","59.5mm","T","270.00","BE200"
"U1_11","SMD_QFN50P900X900X85-65N_-_BE200","-55mm","35mm","-55mm","35mm","-51.25mm","39.5mm","T","270.00","BE200"
"U1_12","SMD_QFN50P900X900X85-65N_-_BE200","-55mm","15mm","-55mm","15mm","-51.25mm","19.5mm","T","270.00","BE200"
"U1_13","SMD_QFN50P900X900X85-65N_-_BE200","-75mm","15mm","-75mm","15mm","-78.75mm","10.5mm","T","90.00","BE200"
"U1_14","SMD_QFN50P900X900X85-65N_-_BE200","-75mm","35mm","-75mm","35mm","-78.75mm","30.5mm","T","90.00","BE200"
"U1_15","SMD_QFN50P900X900X85-65N_-_BE200","-75mm","55mm","-75mm","55mm","-78.75mm","50.5mm","T","90.00","BE200"
"U1_16","SMD_QFN50P900X900X85-65N_-_BE200","-75mm","75mm","-75mm","75mm","-78.75mm","70.5mm","T","90.00","BE200"

